date,src_ticker,dst_ticker,relation_type,shared_etf_ticker,shared_theme,shared_concept_count,edge_weight,source,record_status
2020-11-30,CAT,JD,same_theme_etf_holding,ARKQ,Robotics,1,0.0302334066449,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,CAT,NVDA,same_theme_etf_holding,ARKQ,Robotics,1,0.0206083150893,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,CAT,TSLA,same_theme_etf_holding,ARKQ,Robotics,1,0.0527999297681,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,CSCO,FB,same_theme_etf_holding,FDN,Internet,1,0.0541399568275,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,CSCO,GOOG,same_theme_etf_holding,FDN | SKYY,Cloud Computing | Internet,2,0.0865670506636,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,CSCO,HON,same_theme_etf_holding,GRID,Infrastructure,1,0.0181492631854,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,CSCO,MSFT,same_theme_etf_holding,SKYY,Cloud Computing,1,0.0293077150888,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,CSCO,NFLX,same_theme_etf_holding,FDN,Internet,1,0.0458585879901,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,CSCO,NGG,same_theme_etf_holding,GRID,Infrastructure,1,0.0103544616106,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,CSCO,NVDA,same_theme_etf_holding,GRID,Infrastructure,1,0.0194453751625,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,CSCO,ORCL,same_theme_etf_holding,GRID | SKYY,Cloud Computing | Infrastructure,2,0.0491395606062,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,CSCO,PYPL,same_theme_etf_holding,FDN,Internet,1,0.0465178689787,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,CSCO,SNAP,same_theme_etf_holding,FDN,Internet,1,0.0304214516646,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,CSCO,TSLA,same_theme_etf_holding,GRID,Infrastructure,1,0.0179423875311,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,D,DUK,same_theme_etf_holding,NLR,Nuclear,1,0.081315840358,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,D,EXC,same_theme_etf_holding,NLR,Nuclear,1,0.0725388987227,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,DE,GOOG,same_theme_etf_holding,ARKQ,Robotics,1,0.0350732576775,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,DE,JD,same_theme_etf_holding,ARKQ,Robotics,1,0.0324676612554,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,DE,NVDA,same_theme_etf_holding,ARKQ | ROBO,Robotics,2,0.0361544082414,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,DE,TSLA,same_theme_etf_holding,ARKQ,Robotics,1,0.0567018548108,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,DHR,ECL,same_theme_etf_holding,PHO | PIO,Water,2,0.156161220253,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,DHR,TMO,same_theme_etf_holding,IHI,Healthcare Innovation,1,0.102030918447,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,DUK,EXC,same_theme_etf_holding,NLR,Nuclear,1,0.0754511649024,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,FB,GOOG,same_theme_etf_holding,FDN | PNQI,Internet,2,0.145062811907,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,FB,JD,same_theme_etf_holding,PNQI,Internet,1,0.0458059035141,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,FB,NFLX,same_theme_etf_holding,ARKW | FDN | PNQI,Internet,3,0.131777879362,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,FB,NVDA,same_theme_etf_holding,ARKW,Internet,1,0.01515720567,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,FB,PYPL,same_theme_etf_holding,ARKW | FDN,Internet,2,0.0745891034031,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,FB,SNAP,same_theme_etf_holding,ARKW | FDN | PNQI,Internet,3,0.0958149320444,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,FB,TSLA,same_theme_etf_holding,ARKW,Internet,1,0.0470547162988,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,GOOG,JD,same_theme_etf_holding,ARKQ | PNQI,Internet | Robotics,2,0.0789769218684,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,GOOG,MSFT,same_theme_etf_holding,SKYY,Cloud Computing,1,0.0352426768361,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,GOOG,NFLX,same_theme_etf_holding,FDN | PNQI,Internet,2,0.113622255474,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,GOOG,NVDA,same_theme_etf_holding,ARKQ,Robotics,1,0.0238715277016,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,GOOG,ORCL,same_theme_etf_holding,SKYY,Cloud Computing,1,0.037276459194,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,GOOG,PYPL,same_theme_etf_holding,FDN,Internet,1,0.0625783688303,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
